Country Name,region,Image URL,1995,1995.1,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Aruba,1,,619,619,641,650,647,683,721,691,643,642,728,733,694,772,827,813,824,869,904,979,"1,072,000","1,225,000","1,102,000","1,070,500"
Afghanistan,2,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,3,,9,9,21,45,52,45,51,67,91,107,194,210,121,195,294,366,425,481,528,650,595,592,397,261
Albania,4,https://www.countryflags.io/al/flat/64.png,304,304,287,119,184,371,317,354,470,557,645,748,937,"1,062,000","1,247,000","1,711,000","2,191,000","2,469,000","3,156,000","2,857,000","3,341,000","3,784,000","4,070,000","4,643,000"
Andorra,5,,,,,,,"2,347,000","2,949,000","3,516,000","3,387,000","3,138,000","2,791,000","2,418,000","2,227,000","2,189,000","2,059,000","1,830,000","1,808,000","2,242,000","2,238,000","2,328,000","2,363,000","2,663,000","2,831,000",
United Arab Emirates,6,,"2,315,000","2,315,000","2,572,000","2,476,000","2,991,000","3,393,000","3,907,000","4,134,000","5,445,000","5,871,000","6,195,000","7,126,000",,,,,,,,,,,,
Argentina,7,,"2,289,000","2,289,000","2,614,000","2,764,000","3,012,000","2,898,000","2,909,000","2,620,000","2,820,000","2,995,000","3,457,000","3,823,000","4,173,000","4,562,000","4,700,000","4,308,000","5,325,000","5,705,000","5,587,000","5,246,000","5,931,000","5,736,000","6,655,000","6,720,000"
Armenia,8,,12,12,13,23,32,41,45,123,162,206,263,319,382,511,558,575,684,758,963,"1,084,000","1,204,000","1,192,000","1,260,000","1,495,000"
American Samoa,9,,34,34,35,26,36,41,44,36,,,,"24,5","25,3","24,1","24,3","23,5","23,1","22,6","22,6","20,8","21,6","20,3","20,1",20
Antigua and Barbuda,10,,220,220,228,240,234,232,207,215,218,239,246,245,254,262,266,234,230,241,247,243,249,250,265,247
Australia,11,https://www.countryflags.io/au/flat/64.png,"3,726,000","3,726,000","4,165,000","4,318,000","4,167,000","4,459,000","4,931,000","4,856,000","4,841,000","4,746,000","5,215,000","5,499,000","5,532,000","5,644,000","5,586,000","5,490,000","5,790,000","5,771,000","6,032,000","6,482,000","6,922,000","7,450,000","8,269,000","8,815,000"
Austria,12,https://www.countryflags.io/at/flat/64.png,"17,173,000","17,173,000","17,090,000","16,647,000","17,352,000","17,467,000","17,982,000","18,180,000","18,611,000","19,078,000","19,374,000","19,952,000","20,269,000","20,773,000","21,935,000","21,355,000","22,004,000","23,012,000","24,151,000","24,813,000","25,291,000","26,728,000","28,121,000","29,460,000"
Azerbaijan,13,,,,,,,,,,576,768,989,693,682,732,"1,043,000","1,005,000","1,280,000","1,562,000","1,986,000","2,130,000","2,160,000","1,922,000","2,044,000","2,454,000"
Burundi,14,,34,34,27,11,15,26,29,36,74,74,133,148,214,192,202,212,142,144,147,234,235,131,187,299
Belgium,15,https://www.countryflags.io/be/flat/64.png,"5,560,000","5,560,000","5,829,000","6,037,000","6,179,000","6,369,000","6,457,000","6,452,000","6,720,000","6,690,000","6,710,000","6,747,000","6,995,000","7,045,000","7,165,000","6,815,000","7,186,000","7,494,000","7,560,000","7,684,000","7,887,000","8,355,000","7,481,000","8,385,000"
Benin,16,,138,138,143,148,152,80,96,88,72,175,174,176,180,186,188,190,199,209,220,231,242,255,267,281
Burkina Faso,17,,124,124,131,138,160,117,126,128,150,163,222,245,264,289,272,269,274,238,237,218,191,163,152,143
Bangladesh,18,,156,156,166,182,172,173,199,207,207,245,271,208,200,289,467,267,303,155,125,148,125,,,
